Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,NumCompaniesWorked,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_catagorical
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,21173,Y,No,11,4,3,6825.0,0.0,3.0,1.0,3.0,2.0,9,7.0,4.0,2.0,High
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,2094,Y,No,14,4,3,10248.0,3.0,3.0,1.0,3.0,4.0,18,6.0,5.0,14.5,High
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,22822,Y,No,12,4,2,16581.0,3.0,3.0,0.0,3.0,2.0,2,2.0,2.0,1.0,High
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,6670,Y,No,11,4,3,2496.0,4.0,3.0,0.0,3.0,3.0,1,1.0,0.0,0.0,Low
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,19121,Y,Yes,13,4,4,6465.0,2.0,3.0,0.0,3.0,4.5,4,2.0,1.0,3.0,High
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,16117,Y,No,13,1,3,2206.0,1.0,3.0,0.0,3.0,4.5,10,0.0,1.0,8.0,Low
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,3335,Y,No,14,3,4,2086.0,3.0,3.0,1.0,3.0,4.5,1,0.0,0.0,0.0,Low
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,3020,Y,Yes,16,1,2,2293.0,2.0,3.0,1.0,3.0,2.0,2,0.0,2.0,0.0,Low
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,21923,Y,No,12,4,2,2645.0,1.0,3.0,2.0,3.0,3.0,5,3.0,1.0,4.0,Low
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,3810,Y,Yes,14,3,3,2683.0,1.0,3.0,0.0,3.0,2.0,3,2.0,0.0,2.0,Low
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,9687,Y,No,13,1,3,2014.0,1.0,3.0,0.0,3.0,3.0,2,2.0,2.0,2.0,Low
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,13072,Y,Yes,14,4,4,3419.0,8.5,3.0,1.0,3.0,3.0,1,1.0,0.0,0.0,Low
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,3193,Y,No,19,1,3,5376.0,2.0,3.0,2.0,3.0,3.0,5,3.0,1.0,3.0,Low
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,10910,Y,No,12,3,3,1951.0,1.0,3.0,1.0,3.0,3.0,1,0.0,0.0,0.0,Low
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715,Y,No,13,4,3,2341.0,1.0,3.0,1.0,3.0,4.5,1,0.0,0.0,0.0,Low
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,10558,Y,No,12,3,2,2293.0,1.0,3.0,0.0,3.0,2.0,1,0.0,0.0,1.0,Low
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,2975,Y,No,15,4,3,8726.0,1.0,3.0,0.0,3.0,0.5,9,8.0,1.0,7.0,High
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,10781,Y,No,23,4,3,4011.0,1.0,3.0,0.0,3.0,2.0,12,8.0,3.0,7.0,Low
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,16280,Y,No,12,4,3,16581.0,1.0,3.0,0.0,3.0,0.5,18,14.5,7.5,8.0,High
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,10034,Y,No,20,3,3,4568.0,0.0,3.0,0.0,3.0,2.0,9,5.0,7.5,7.0,Low
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,10227,Y,No,21,1,3,3022.0,4.0,3.0,0.0,3.0,1.0,1,0.0,0.0,0.0,Low
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,20445,Y,Yes,21,3,3,5772.0,4.0,3.0,0.0,3.0,4.0,9,6.0,0.0,8.0,Low
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,4892,Y,No,19,4,3,2269.0,1.0,3.0,0.0,3.0,2.0,1,0.0,0.0,1.0,Low
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,19294,Y,Yes,13,4,3,5381.0,8.5,3.0,0.0,3.0,2.0,1,0.0,0.0,0.0,Low
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,11179,Y,Yes,13,3,2,3441.0,1.0,3.0,0.0,3.0,3.0,2,2.0,2.0,2.0,Low
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,4009,Y,Yes,21,3,2,5454.0,5.0,3.0,1.0,3.0,2.0,4,3.0,1.0,3.0,Low
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,8302,Y,Yes,13,3,3,9884.0,2.0,3.0,1.0,3.0,3.0,4,0.0,2.0,3.0,High
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,21436,Y,Yes,19,3,2,4157.0,7.0,3.0,1.0,3.0,2.0,2,2.0,0.0,0.0,Low
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,15146,Y,Yes,12,3,3,13458.0,1.0,3.0,0.0,3.0,1.0,15,14.0,7.5,12.0,High
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,11031,Y,No,22,4,2,9069.0,1.0,3.0,1.0,3.0,3.0,9,8.0,1.0,8.0,High
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,16002,Y,Yes,15,3,3,4014.0,3.0,3.0,1.0,3.0,3.0,2,2.0,2.0,2.0,Low
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528,Y,No,22,4,2,5915.0,3.0,3.0,1.0,3.0,3.0,7,7.0,1.0,7.0,Low
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689,Y,No,18,3,4,5993.0,1.0,3.0,1.0,3.0,2.0,7,5.0,0.0,7.0,Low
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,10877,Y,Yes,22,2,3,6162.0,1.0,3.0,1.0,3.0,3.0,9,8.0,7.0,8.0,Low
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,5456,Y,No,11,4,3,2406.0,1.0,3.0,0.0,3.0,2.0,10,3.0,7.5,9.0,Low
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,16701,Y,Yes,12,4,2,16581.0,5.0,3.0,1.0,3.0,2.0,18,3.0,7.5,8.0,High
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,2354,Y,No,11,4,2,7637.0,7.0,3.0,0.0,3.0,3.0,18,14.5,7.0,9.0,High
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202,Y,No,13,2,3,10096.0,1.0,3.0,2.5,3.0,2.0,17,14.0,7.5,8.0,High
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,19730,Y,Yes,14,3,3,14756.0,2.0,3.0,2.5,3.0,2.0,5,0.0,0.0,2.0,High
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,22656,Y,No,13,3,3,6499.0,1.0,3.0,0.0,3.0,3.0,6,5.0,0.0,3.0,High
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,18787,Y,No,17,3,3,9724.0,2.0,3.0,1.0,3.0,2.0,1,0.0,0.0,0.0,High
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,5868,Y,No,13,4,2,2194.0,4.0,3.0,1.0,3.0,2.0,3,2.0,1.0,2.0,Low
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,21777,Y,Yes,17,1,2,3388.0,0.0,3.0,1.0,3.0,0.5,1,0.0,0.0,0.0,Low
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,24668,Y,No,11,4,2,5473.0,7.0,3.0,0.0,3.0,2.0,4,3.0,1.0,3.0,Low
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,4956,Y,No,23,4,3,2703.0,0.0,3.0,1.0,3.0,3.0,5,4.0,0.0,4.0,Low
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,18775,Y,No,17,2,3,2501.0,1.0,3.0,0.0,3.0,4.0,1,1.0,1.0,0.0,Low
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,7346,Y,No,17,2,3,6220.0,1.0,3.0,2.0,3.0,3.0,10,4.0,0.0,9.0,Low
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,22002,Y,No,12,2,3,3038.0,3.0,3.0,0.0,3.0,3.0,1,0.0,0.0,0.0,Low
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,20682,Y,No,23,4,3,4424.0,1.0,3.0,0.0,3.0,2.0,11,7.0,1.0,8.0,Low
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,23016,Y,No,14,2,3,4312.0,0.0,3.0,0.0,3.0,2.0,15,13.0,2.0,8.0,Low
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,15067,Y,Yes,14,2,4,13245.0,4.0,3.0,0.0,3.0,3.0,0,0.0,0.0,0.0,High
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,25258,Y,No,13,1,4,13664.0,4.0,3.0,0.0,3.0,3.0,5,2.0,0.0,2.0,High
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,10425,Y,Yes,22,4,3,5021.0,8.0,3.0,1.0,3.0,2.0,4,2.0,0.0,2.0,Low
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,15998,Y,Yes,12,3,2,5126.0,1.0,3.0,2.0,3.0,1.0,10,8.0,3.0,0.0,Low
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,26278,Y,No,18,1,3,2859.0,1.0,3.0,0.0,3.0,3.0,6,4.0,0.0,4.0,Low
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,18092,Y,No,14,4,3,10239.0,3.0,3.0,1.0,3.0,4.0,1,0.0,1.0,0.0,High
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,15717,Y,Yes,12,4,3,5329.0,7.0,3.0,2.5,3.0,3.0,13,11.0,1.0,9.0,Low
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,17736,Y,No,15,3,3,4325.0,1.0,3.0,0.0,3.0,2.0,5,2.0,1.0,3.0,Low
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,21698,Y,No,11,1,2,7260.0,4.0,3.0,0.0,3.0,3.0,6,4.0,0.0,2.0,High
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,9518,Y,No,13,3,3,2322.0,3.0,3.0,1.0,3.0,3.0,0,0.0,0.0,0.0,Low
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,18725,Y,No,23,2,3,2075.0,3.0,3.0,2.0,3.0,4.0,4,2.0,0.0,3.0,Low
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,15830,Y,No,19,1,3,4152.0,1.0,3.0,2.5,3.0,3.0,11,10.0,7.5,8.0,Low
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,13596,Y,No,16,4,3,9619.0,1.0,3.0,0.0,3.0,3.0,9,8.0,4.0,7.0,High
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,14115,Y,No,22,4,2,13503.0,1.0,3.0,1.0,3.0,3.0,18,3.0,7.5,11.0,High
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,8423,Y,Yes,22,4,1,5441.0,0.0,3.0,0.0,3.0,2.0,10,7.0,1.0,0.0,Low
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,19760,Y,Yes,12,2,2,5209.0,1.0,3.0,2.5,3.0,4.0,11,8.0,2.0,7.0,Low
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,3142,Y,Yes,13,3,2,10673.0,2.0,3.0,1.0,3.0,4.5,10,9.0,7.5,5.0,High
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,24301,Y,No,16,1,3,5010.0,1.0,3.0,0.0,3.0,0.5,11,8.0,5.0,7.0,Low
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,24001,Y,No,12,1,1,13549.0,8.5,3.0,1.0,3.0,4.5,4,3.0,0.0,3.0,High
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,17519,Y,No,21,1,2,4999.0,0.0,3.0,1.0,3.0,2.0,3,2.0,0.0,2.0,Low
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,8863,Y,No,15,2,4,4221.0,1.0,3.0,0.0,3.0,3.0,5,4.0,0.0,4.0,Low
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,24409,Y,No,13,3,2,13872.0,0.0,3.0,0.0,3.0,1.0,18,10.0,1.0,8.0,High
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,25043,Y,No,12,3,4,2042.0,4.0,3.0,1.0,3.0,3.0,3,2.0,1.0,2.0,Low
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,23648,Y,Yes,22,4,3,2073.0,4.0,3.0,0.0,3.0,3.0,3,2.0,0.0,2.0,Low
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,15178,Y,No,13,4,3,2956.0,1.0,3.0,0.0,3.0,2.0,1,0.0,0.0,0.0,Low
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,19783,Y,Yes,18,2,3,2926.0,1.0,3.0,0.0,3.0,4.5,1,0.0,1.0,0.0,Low
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,12482,Y,No,14,3,3,4809.0,1.0,3.0,0.0,3.0,3.0,16,13.0,2.0,10.0,Low
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850,Y,No,14,4,4,5163.0,5.0,3.0,1.0,3.0,2.0,1,0.0,0.0,0.0,Low
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,21922,Y,No,21,4,3,16581.0,8.5,3.0,1.0,3.0,3.0,3,2.0,2.0,2.0,High
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,9755,Y,Yes,19,1,2,16581.0,3.0,3.0,0.0,3.0,1.0,8,3.0,0.0,7.0,High
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,26959,Y,Yes,11,4,3,5744.0,1.0,3.0,0.0,3.0,1.0,6,4.0,0.0,3.0,Low
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,26897,Y,No,11,3,3,2889.0,1.0,3.0,2.0,3.0,2.0,2,2.0,2.0,1.0,Low
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,23785,Y,No,15,3,3,2871.0,1.0,3.0,0.0,3.0,4.5,0,0.0,0.0,0.0,Low
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,25796,Y,No,20,3,2,7484.0,3.0,3.0,0.0,3.0,1.0,13,12.0,7.5,8.0,High
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,22887,Y,Yes,24,4,3,6074.0,1.0,3.0,0.0,3.0,3.0,9,7.0,0.0,6.0,Low
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,13871,Y,Yes,12,3,3,16581.0,2.0,3.0,0.0,3.0,3.0,5,3.0,4.0,4.0,High
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,13257,Y,No,12,3,3,2774.0,0.0,3.0,1.0,3.0,2.0,5,3.0,1.0,2.0,Low
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,2,Divorced,15000,Y,No,15,3,3,4505.0,6.0,3.0,1.0,3.0,3.0,1,0.0,0.0,0.0,Low
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,14506,Y,No,12,1,3,7428.0,2.0,3.0,0.0,3.0,3.0,5,3.0,1.0,3.0,High
